"","X","Round","Cycle","MouseID","Gender","Donor","ASD_diagnosis","OFT_Distance","OFT_velocity","OFT_LrgCntr_freq","OFT_LrgCntr_duration","OFT_LrgCntr_latency","OFT_SmlCntr_freq","OFT_SmlCntr_duration","OFT_SmlCntr_latency","OFT_Movement","MB_visible","MB_buried","MB_percentBuried","DSI_Agrsn_freq","DSI_Agrsn_duration","DSI_Social_freq","DSI_Social_duration","DSI_Groom_freq","DSI_Groom_Duration","SI_Habit_Social","SI_Habit_Cntr","SI_Habit_NonSocial","SI_Sociability_Social","SI_Sociability_Cntr","SI_Sociability_NonSocial","Unnamed..30","Unnamed..31","Unnamed..32","USV_freq","USV_Duration","DSI_USV_median","DSI_USV_StdDev","DSI_USV_Freq","DSI_USV_Duration","DSI_USV_Slbl_num","DSI_USV_Slbl_Duration","DSI_USV_Slbl_Gap_Length","DSI_USV_Slbl_Bout_freq","DSI_USV_Slbl_Bout_gap","DSI_USV_Slbl_SlblPerBout","Unnamed..45","SI_index"
"11",21,1,1,23,"Male","A24-new","ASD",3885.93,6.63522,60,45.2452,7.07374,19,16.0828,7.47414,64.2166,15,5,25,NA,NA,NA,NA,NA,NA,198.532,183.917,171.171,247.447,91.0911,225.759,NA,NA,NA,247,2.7434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29160238881164
"12",22,1,1,24,"Female","A24-new","ASD",3398.18,5.87876,106,189.523,0,30,51.0511,10.4104,52.5297,15,5,25,NA,NA,NA,NA,NA,NA,169.369,132.466,263.463,343.744,75.2753,150.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5141508003114
"13",23,1,1,25,"Female","A24-new","ASD",4380.32,7.68157,115,88.7554,0,41,88.1548,0.2002,68.1085,9,11,55,NA,NA,NA,NA,NA,NA,161.762,233.967,147.08,365.966,98.2316,120.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.288323465395
"14",24,1,1,26,"Female","A24-new","ASD",3771.26,7.04907,77,68.7354,7.20721,27,35.5022,9.07574,57.6337,7,13,65,NA,NA,NA,NA,NA,NA,189.79,209.543,181.048,260.594,109.51,212.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.03871384701166
"15",25,1,1,27,"Female","A24-new","ASD",4165.67,7.56179,98,83.1498,1.93527,50,56.4565,2.13547,58.8013,14,6,30,NA,NA,NA,NA,NA,NA,199.399,237.771,150.484,258.525,80.1468,246.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21629412149272
"16",26,1,1,28,"Male","A24-new","ASD",5612.4,9.70817,107,59.9266,7.60761,44,45.5122,7.80781,74.0687,6,14,70,NA,NA,NA,NA,NA,NA,239.173,150.684,187.855,254.988,67.6677,250.317,NA,NA,NA,595,5.3219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.462196099385515
"17",27,1,1,29,"Male","A24-new","ASD",5188.84,9.03284,141,74.7414,0.867534,52,40.5072,8.14147,70.844,11,9,45,NA,NA,NA,NA,NA,NA,145.812,163.83,260.327,197.064,129.062,239.973,NA,NA,NA,1417,19.8852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.90908092449838
"18",28,1,1,30,"Female","A24-new","ASD",3169.88,5.81191,91,86.2196,0.133466,43,75.342,0,56.3723,15,5,25,NA,NA,NA,NA,NA,NA,308.108,141.942,110.244,345.812,78.6787,166.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5531488872089
"19",29,1,1,31,"Female","A24-new","ASD",4026.58,7.04146,87,41.8418,17.1505,34,28.4952,17.5509,60.0756,14,6,30,NA,NA,NA,NA,NA,NA,76.4765,282.683,229.363,173.24,128.462,252.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.34220932988807
"20",30,1,1,32,"Female","A24-new","ASD",3772.02,7.18583,118,100.367,7.47414,50,78.8789,7.74107,60.5872,12,8,40,NA,NA,NA,NA,NA,NA,127.728,221.622,226.693,291.758,80.8809,218.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23258843099715
